Timestamp,Ch1_Bias,Ch1_Derived_Peak,Ch1_Direct,Ch1_Direct RMS,Ch1_Veolocity_Peak,Ch1_Velocity_RMS,Ch2_Bias,Ch2_Derived_Peak,Ch2_Direct,Ch2_Direct_RMS,Ch2_Velocity_Peak,Ch2_Velocity_RMS
7/10/23 11:07,-12.027,0.204,0.45,0.144,0.151,0.075,-11.985,0.197,0.399,0.139,0.138,0.069
7/10/23 11:12,-12.034,0.001,0.002,0,0.002,0.001,-11.981,0.001,0.002,0,0.002,0.001
7/10/23 16:00,-12.028,0.002,0.004,0.002,0.006,0.001,-11.982,0.002,0.004,0.001,0.007,0.001
7/10/23 19:55,-12.026,0.001,0.002,0.001,0.002,0.003,-11.98,0.001,0.002,0,0.002,0.003
7/10/23 20:01,-12.027,0.001,0.002,0,0.002,0.001,-11.981,0.001,0.002,0,0.002,0.002
7/11/23 0:54,-12.025,0.003,0.004,0.002,0.005,0.003,-11.979,0.002,0.005,0.001,0.004,0.001
7/11/23 1:04,-12.026,0.004,0.007,0.003,0.007,0.003,-11.98,0.001,0.002,0,0.002,0.001
7/11/23 5:22,-12.024,0.001,0.002,0,0.002,0.001,-11.978,0.004,0.008,0.003,0.006,0.003
7/11/23 6:36,-12.024,0.001,0.002,0,0.002,0.001,-11.978,0.001,0.002,0,0.002,0.007
7/11/23 10:57,-12.026,0.005,0.006,0.004,0.013,0.009,-11.98,0.004,0.005,0.003,0.012,0.001
7/11/23 11:02,-12.026,0.009,0.027,0.006,0.019,0.005,-11.979,0.001,0.021,0,0.002,0.001
7/11/23 15:06,-12.027,0.001,0.002,0.001,0.002,0.001,-11.981,0.007,0.002,0.005,0.018,0.004
7/11/23 17:48,-12.027,0.001,0.014,0,0.01,0.004,-11.981,0.003,0.012,0.002,0.011,0.004
7/11/23 19:09,-12.026,0.004,0.002,0.002,0.002,0.001,-11.98,0.001,0.002,0,0.002,0.001
7/11/23 20:12,-12.027,0.002,0.002,0.002,0.002,0.003,-11.981,0.001,0.002,0,0.002,0.001
7/12/23 0:53,-12.025,0.001,0.005,0.001,0.006,0.001,-11.979,0.002,0.005,0.001,0.006,0.003
7/12/23 4:34,-12.024,0.004,0.007,0.003,0.007,0.003,-11.978,0.003,0.008,0.002,0.008,0.003
7/12/23 5:56,-12.026,0.001,0.002,0,0.002,0.001,-11.981,0.001,0.002,0,0.002,0.001
7/12/23 6:00,-12.026,0.001,0.002,0,0.002,0.008,-11.98,0.004,0.002,0.003,0.002,0.007
7/12/23 7:25,-12.028,0.006,0.008,0.004,0.015,0.001,-11.982,0.001,0.007,0,0.013,0.001
7/12/23 11:15,-12.027,0.001,0.002,0,0.008,0.005,-11.98,0.007,0.008,0.005,0.002,0.005
7/12/23 14:29,-12.028,0.005,0.007,0.004,0.002,0.001,-11.982,0.001,0.002,0,0.008,0.001
7/12/23 16:32,-12.028,0.002,0.002,0.002,0.004,0.001,-11.982,0.002,0.002,0.001,0.005,0.003
7/12/23 19:45,-12.027,0.001,0.004,0,0.002,0.002,-11.981,0.001,0.004,0,0.002,0.001
7/12/23 20:18,-12.028,0.002,0.002,0.001,0.002,0.002,-11.981,0.001,0.002,0,0.005,0.002
7/13/23 0:51,-12.026,0.001,0.003,0,0.005,0.001,-11.98,0.002,0.004,0.001,0.002,0.001
7/13/23 1:10,-12.027,0.001,0.006,0,0.002,0.001,-11.981,0.003,0.002,0.002,0.002,0.003
7/13/23 5:35,-12.026,0.003,0.002,0.002,0.007,0.003,-11.979,0.001,0.007,0,0.007,0.001
7/13/23 8:33,-12.025,0.005,0.008,0.004,0.014,0.007,-11.979,0.005,0.007,0.003,0.011,0.007
7/13/23 10:57,-12.026,0.001,0.002,0,0.002,0.001,-11.98,0.001,0.002,0,0.002,0.001
7/13/23 11:01,-12.026,0.006,0.002,0.004,0.008,0.001,-11.98,0.005,0.007,0.004,0.007,0.001
7/13/23 15:53,-12.028,0.001,0.005,0,0.002,0.007,-11.982,0.001,0.002,0,0.002,0.006
7/13/23 16:40,-12.028,0.002,0.005,0.002,0.002,0.003,-11.982,0.002,0.002,0.001,0.005,0.001
7/13/23 19:45,-12.028,0.001,0.002,0,0.005,0.001,-11.981,0.001,0.003,0,0.002,0.002
7/13/23 20:47,-12.028,0.003,0.007,0.002,0.009,0.004,-11.982,0.001,0.002,0,0.002,0.001
7/14/23 0:58,-12.027,0.001,0.002,0,0.001,0.001,-11.981,0.003,0.007,0.002,0.01,0.004
7/14/23 1:10,-12.028,0.003,0.002,0.002,0.002,0.001,-11.982,0.004,0.002,0.003,0.002,0.001
7/14/23 5:58,-12.027,0.001,0.004,0,0.004,0.003,-11.98,0.001,0.005,0,0.005,0.003
7/14/23 8:04,-12.026,0.001,0.002,0,0.002,0.001,-11.98,0.001,0.002,0,0.002,0.001
7/14/23 10:50,-12.027,0.003,0.005,0.002,0.009,0.004,-11.982,0.003,0.006,0.002,0.01,0.004
7/14/23 11:01,-12.027,0.004,0.002,0.003,0.002,0.001,-11.981,0.003,0.002,0.002,0.011,0.003
7/14/23 15:53,-12.028,0.001,0.006,0,0.011,0.004,-11.982,0.001,0.005,0,0.002,0.001
7/14/23 16:25,-12.028,0.002,0.005,0.002,0.002,0.003,-11.982,0.002,0.004,0.001,0.006,0.001
7/14/23 19:46,-12.029,0.001,0.002,0.001,0.005,0.001,-11.983,0.001,0.002,0,0.002,0.003
7/14/23 21:04,-12.029,0.002,0.004,0.001,0.002,0.001,-11.983,0.002,0.004,0.001,0.003,0.001
7/15/23 0:42,-12.028,0.001,0.002,0,0.003,0.002,-11.981,0.001,0.002,0,0.002,0.002
7/15/23 1:02,-12.028,0.001,0.003,0,0.003,0.001,-11.982,0.002,0.003,0.001,0.002,0.002
7/15/23 5:48,-12.027,0.001,0.002,0.001,0.002,0.002,-11.981,0.001,0.002,0,0.003,0.001
7/15/23 7:21,-12.027,0.001,0.002,0.001,0.002,0.002,-11.982,0.001,0.005,0,0.002,0.002
7/15/23 10:36,-12.027,0.001,0.005,0,0.003,0.001,-11.98,0.002,0.002,0.001,0.003,0.001
7/15/23 11:08,-12.027,0.001,0.004,0,0.002,0.001,-11.981,0.001,0.004,0,0.004,0.002
7/15/23 15:25,-12.028,0.002,0.002,0.002,0.003,0.002,-11.982,0.002,0.002,0.001,0.002,0.001
7/15/23 17:53,-12.029,0.001,0.004,0,0.005,0.001,-11.983,0.002,0.004,0.001,0.002,0.001
7/15/23 19:51,-12.028,0.003,0.002,0.002,0.002,0.002,-11.981,0.001,0.002,0,0.004,0.002
7/15/23 20:02,-12.028,0.001,0.002,0,0.002,0.001,-11.982,0.002,0.002,0.001,0.002,0.001
7/16/23 0:07,-12.027,0.002,0.004,0.001,0.003,0.002,-11.98,0.001,0.005,0,0.004,0.002
